Kevin Porter Jr.,33:57,9,19,.474,3,5,.600,0,0,,3,4,7,7,2,0,4,2,21,-13,porteke02\
Jabari Smith Jr.,32:54,6,17,.353,3,11,.273,2,2,1.000,1,6,7,1,0,0,0,4,17,-9,smithja05\
Jalen Green,32:13,7,20,.350,1,7,.143,1,1,1.000,1,4,5,3,1,1,3,3,16,-16,greenja05\
Eric Gordon,29:18,4,9,.444,1,4,.250,2,2,1.000,0,1,1,4,0,0,1,2,11,+8,gordoer01\
Bruno Fernando,25:03,3,3,1.000,0,0,,1,2,.500,3,6,9,7,0,2,0,0,7,-1,fernabr01\
Kenyon Martin Jr.,22:42,1,7,.143,0,2,.000,4,4,1.000,0,5,5,0,1,0,1,4,6,-10,martike04\
Alperen Sengun,22:05,5,9,.556,1,2,.500,4,4,1.000,4,5,9,0,0,0,6,3,15,-6,sengual01\
Tari Eason,15:06,4,6,.667,0,0,,0,0,,3,4,7,0,0,0,0,1,8,-1,easonta01\
Garrison Mathews,14:03,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,1,0,+3,mathega01\
Josh Christopher,12:39,3,6,.500,0,2,.000,0,0,,0,3,3,2,0,0,0,0,6,-5,chrisjo01\
Dejounte Murray,38:14,8,19,.421,1,5,.200,3,3,1.000,0,5,5,11,5,1,0,0,20,+8,murrade01\
Trae Young,37:54,7,22,.318,1,9,.111,8,8,1.000,0,3,3,13,1,1,3,1,23,+16,youngtr01\
John Collins,33:39,9,12,.750,2,2,1.000,4,4,1.000,0,8,8,1,1,0,2,3,24,+11,collijo01\
De'Andre Hunter,32:08,10,15,.667,1,3,.333,1,2,.500,1,2,3,1,1,0,0,3,22,+12,huntede01\
Clint Capela,26:03,1,3,.333,0,0,,0,0,,2,6,8,0,0,2,1,2,2,-1,capelca01\
Onyeka Okongwu,21:07,6,8,.750,0,0,,1,3,.333,1,8,9,0,0,0,0,4,13,+8,okongon01\
Justin Holiday,18:32,1,5,.200,1,4,.250,0,0,,0,1,1,3,1,1,0,2,3,+3,holidju01\
Aaron Holiday,18:02,2,5,.400,1,2,.500,0,0,,0,0,0,1,3,0,2,1,5,-6,holidaa01\
Jalen Johnson,14:21,1,1,1.000,0,0,,3,4,.750,0,1,1,0,0,0,1,2,5,-1,johnsja05\
CJ McCollum,31:03,7,16,.438,3,9,.333,4,5,.800,1,3,4,6,3,0,1,2,21,+23,mccolcj01\
Brandon Ingram,31:00,10,17,.588,2,4,.500,6,9,.667,0,7,7,5,1,0,4,3,28,+24,ingrabr01\
Zion Williamson,30:03,11,22,.500,0,0,,3,4,.750,3,6,9,3,4,0,2,3,25,+13,willizi01\
