Name,PM,PF
Kevin Porter Jr.,-13,2
Jabari Smith Jr.,-9,4
Jalen Green,-16,3
Eric Gordon,8,2
Bruno Fernando,-1,0
Kenyon Martin Jr.,-10,4
Alperen Sengun,-6,3
Tari Eason,-1,1
Garrison Mathews,3,1
Josh Christopher,-5,0
Dejounte Murray,8,0
Trae Young,16,1
John Collins,11,3
De'Andre Hunter,12,3
Clint Capela,-1,2
Onyeka Okongwu,8,4
Justin Holiday,3,2
Aaron Holiday,-6,1
Jalen Johnson,-1,2
CJ McCollum,23,2
Brandon Ingram,24,3
Zion Williamson,13,3
Herbert Jones,34,3
Jonas Valanciunas,28,1
Trey Murphy III,4,4
Larry Nance Jr.,-6,1
Jose Alvarado,3,2
Devonte' Graham,-4,0
Naji Marshall,-7,1
Dyson Daniels,-2,1
Kyrie Irving,-18,3
Royce O'Neale,-27,4
Kevin Durant,-23,4
Nic Claxton,-15,3
Ben Simmons,-26,6
Patty Mills,-2,0
Day'Ron Sharpe,-10,4
Edmond Sumner,2,1
Cam Thomas,3,0
Yuta Watanabe,2,0
Kessler Edwards,-1,0
Markieff Morris,5,0
Paolo Banchero,2,5
Franz Wagner,-2,2
Wendell Carter Jr.,0,4
Terrence Ross,5,2
Jalen Suggs,3,6
Caleb Houstan,-14,3
Chuma Okeke,-7,2
Bol Bol,-4,0
Mo Bamba,-10,0
R.J. Hampton,7,0
Cade Cunningham,3,2
Bojan Bogdanovic,6,3
Jaden Ivey,-4,3
Saddiq Bey,6,2
Isaiah Stewart,-1,2
Jalen Duren,7,0
Killian Hayes,6,1
Cory Joseph,-1,3
Hamidou Diallo,0,3
Kevin Knox,-2,2
